snapped_at,price,market_cap,total_volume
2024-01-25 00:00:00 UTC,2209.1819352838093,0.0,1137672.1964744194
2024-01-26 00:00:00 UTC,2209.1819352838093,0.0,1137672.1964744194
2024-01-27 00:00:00 UTC,2260.6558193962114,0.0,159024.8225054212
2024-01-28 00:00:00 UTC,2264.4727051287496,0.0,33586.207293434614
2024-01-29 00:00:00 UTC,2248.6327531233774,0.0,147322.92745243708
2024-01-30 00:00:00 UTC,2309.7133906648364,0.0,120888.25703819377
2024-01-31 00:00:00 UTC,2362.7521872135344,0.0,159012.20669498644
2024-02-01 00:00:00 UTC,2275.507970117923,0.0,1706586.8185998062
2024-02-02 00:00:00 UTC,2299.471129625686,0.0,2113593.4260507375
2024-02-03 00:00:00 UTC,2312.875716154791,0.0,809746.599882472
2024-02-04 00:00:00 UTC,2304.6871053545356,0.0,621703.0279986731
2024-02-05 00:00:00 UTC,2294.9237580828703,0.0,1320849.1602223485
2024-02-06 00:00:00 UTC,2301.0042757979963,0.0,620123.4978035794
2024-02-07 00:00:00 UTC,2385.7025610271476,0.0,39509.41173737404
2024-02-08 00:00:00 UTC,2434.694656521793,0.0,474100.3760481947
2024-02-09 00:00:00 UTC,2436.483972209509,0.0,471293.6722324177
2024-02-10 00:00:00 UTC,2498.420252161848,0.0,341559.28290342493
2024-02-11 00:00:00 UTC,2515.1034235467705,0.0,1310812.7302685007
2024-02-12 00:00:00 UTC,2500.9558734770626,0.0,1431891.105276912
2024-02-13 00:00:00 UTC,2639.57334592781,0.0,194607.64552820718
2024-02-14 00:00:00 UTC,2631.192391405092,0.0,587255.1186079273
2024-02-15 00:00:00 UTC,2773.200332815385,0.0,299091.73868780176
2024-02-16 00:00:00 UTC,2849.6280782897547,0.0,516136.31550524384
2024-02-17 00:00:00 UTC,2803.7586752567863,0.0,318116.9383724017
2024-02-18 00:00:00 UTC,2801.745821388235,0.0,921901.9069931823
2024-02-19 00:00:00 UTC,2885.6957539757195,0.0,558428.5331155244
2024-02-20 00:00:00 UTC,2957.547523893647,0.0,3329126.0868349522
2024-02-21 00:00:00 UTC,3025.802586159404,0.0,1916123.732264459
2024-02-22 00:00:00 UTC,2989.199191313932,0.0,6173187.404571396
2024-02-23 00:00:00 UTC,2992.1008395250356,0.0,17016567.28673085
2024-02-24 00:00:00 UTC,2939.07501532771,0.0,7780675.997638343
2024-02-25 00:00:00 UTC,2998.1169673314557,0.0,13088814.823994758
2024-02-26 00:00:00 UTC,3129.105647498371,0.0,19345349.93094917
2024-02-27 00:00:00 UTC,3190.237561576753,0.0,26151111.617919244
2024-02-28 00:00:00 UTC,3259.4571207805466,0.0,23265048.184315175
2024-02-29 00:00:00 UTC,3394.150693070504,0.0,18975119.581568424
2024-03-01 00:00:00 UTC,3365.0579254013537,0.0,11311125.145645514
2024-03-02 00:00:00 UTC,3452.5569344310898,0.0,13981432.578302337
2024-03-03 00:00:00 UTC,3439.142143262787,0.0,12433008.92429986
2024-03-04 00:00:00 UTC,3502.913457461517,0.0,16210000.756513204
2024-03-05 00:00:00 UTC,3657.2790926055245,0.0,31599411.10204618
2024-03-06 00:00:00 UTC,3596.8176041241804,0.0,24873189.187110897
2024-03-07 00:00:00 UTC,3844.5216304520536,0.0,35861193.489726655
2024-03-08 00:00:00 UTC,3880.0852483717726,0.0,21495111.86626192
2024-03-09 00:00:00 UTC,3911.2004842565552,0.0,38900844.76192598
2024-03-10 00:00:00 UTC,3930.385000348886,0.0,12216079.82058567
2024-03-11 00:00:00 UTC,3907.7672818347464,0.0,29395940.845817998
2024-03-12 00:00:00 UTC,4094.5275561197727,0.0,16775493.324847328
2024-03-13 00:00:00 UTC,4002.03492067885,0.0,24575359.144004926
2024-03-14 00:00:00 UTC,4003.2945691062346,0.0,47204535.4660446
2024-03-15 00:00:00 UTC,3882.5982815973475,0.0,68779564.5463862
2024-03-16 00:00:00 UTC,3756.5935396486207,0.0,45374333.90114397
2024-03-17 00:00:00 UTC,3535.5163519805383,0.0,30557096.171047155
2024-03-18 00:00:00 UTC,3676.8263982482677,0.0,37358628.702244475
2024-03-19 00:00:00 UTC,3552.301314981724,0.0,74316442.13870287
2024-03-20 00:00:00 UTC,3186.591397955774,0.0,68339763.13587849
2024-03-21 00:00:00 UTC,3537.538078220227,0.0,64732486.680415854
2024-03-22 00:00:00 UTC,3513.2404553019114,0.0,62786333.239358366
2024-03-23 00:00:00 UTC,3336.342065510844,0.0,61626352.837869085
2024-03-24 00:00:00 UTC,3378.0753627947634,0.0,53660703.43485713
2024-03-25 00:00:00 UTC,3469.363985850848,0.0,68668255.7829494
2024-03-26 00:00:00 UTC,3611.4674152794173,0.0,74487624.23025292
2024-03-27 00:00:00 UTC,3607.2672171560225,0.0,95783070.89645846
2024-03-28 00:00:00 UTC,3527.5891288589705,0.0,98927453.97246811
2024-03-29 00:00:00 UTC,3587.032805197682,0.0,57520743.58210994
2024-03-30 00:00:00 UTC,3540.732037098398,0.0,77338478.21125004
2024-03-31 00:00:00 UTC,3533.863813342371,0.0,73404948.65327178
2024-04-01 00:00:00 UTC,3669.3924490806235,0.0,85082439.13126324
2024-04-02 00:00:00 UTC,3521.0864845028964,0.0,125691509.24695031
2024-04-03 00:00:00 UTC,3307.6594562363566,0.0,140289646.09717673
2024-04-04 00:00:00 UTC,3358.841731757818,0.0,80977111.16824315
2024-04-05 00:00:00 UTC,3376.7031661463134,0.0,87952619.13955723
2024-04-06 00:00:00 UTC,3379.589390260874,0.0,90277788.7778735
2024-04-07 00:00:00 UTC,3404.8626199683486,0.0,62172298.43652864
2024-04-08 00:00:00 UTC,3514.1940302818625,0.0,50542354.635561496
2024-04-09 00:00:00 UTC,3770.5254996013987,0.0,50759211.58460759
2024-04-10 00:00:00 UTC,3530.014751948796,0.0,90470921.37148185
2024-04-11 00:00:00 UTC,3566.8224909123323,0.0,45255363.49862054
2024-04-12 00:00:00 UTC,3563.532167837852,0.0,149902660.57025445
2024-04-13 00:00:00 UTC,3267.452221021833,0.0,139552209.16141373
2024-04-14 00:00:00 UTC,3017.603939561889,0.0,192226801.45495027
2024-04-15 00:00:00 UTC,3182.878541035559,0.0,145947447.3438306
2024-04-16 00:00:00 UTC,3132.87187388061,0.0,89617897.97257139
2024-04-17 00:00:00 UTC,3113.0974815157215,0.0,83369096.67222127
2024-04-18 00:00:00 UTC,3008.8434391855553,0.0,81314495.6315338
2024-04-19 00:00:00 UTC,3095.234053824853,0.0,48592130.33120013
2024-04-20 00:00:00 UTC,3092.7990545406637,3083168606.937574,68672796.43567744
2024-04-21 00:00:00 UTC,3180.1449124168307,3166194932.3666515,69061122.84870219
2024-04-22 00:00:00 UTC,3176.665395120111,3166772196.030697,89350258.69368277
2024-04-23 00:00:00 UTC,3223.2745353838395,3213428978.0434213,106251027.83918966
2024-04-24 00:00:00 UTC,3238.8836319257844,3228199543.497789,147914654.99655598
2024-04-25 00:00:00 UTC,3068.8847154734203,3056603931.0231214,961876495.92416
2024-04-26 00:00:00 UTC,3092.3181670546087,3082995531.3031526,305157007.3014395
2024-04-27 00:00:00 UTC,3076.4419778009437,3066879632.993524,153875049.48303783
2024-04-28 00:00:00 UTC,3196.4408065583375,3185101821.6235604,113983569.88481323
2024-04-29 00:00:00 UTC,3229.4761962155917,3225381502.2738748,184995598.60796055
2024-04-30 00:00:00 UTC,3162.041727710116,3151542578.1743016,137093093.63318324
2024-05-01 00:00:00 UTC,2952.883192553829,2947084796.0434794,119959499.94320351
2024-05-02 00:00:00 UTC,2916.7599037567757,2912135965.629889,63679106.437378645
2024-05-03 00:00:00 UTC,2945.8382557412424,2937392505.1234055,70358946.2860885
2024-05-04 00:00:00 UTC,3057.491394499617,3050918902.3636036,43453179.797930576
2024-05-05 00:00:00 UTC,3067.288098986378,3058925642.674173,48069230.95482282
2024-05-06 00:00:00 UTC,3092.1935286007347,3082260374.9827533,40545446.83915505
2024-05-07 00:00:00 UTC,3025.5919900995395,3015896426.7242103,51425038.59909094
2024-05-08 00:00:00 UTC,2963.1513681712704,2953779564.736082,50322991.55098351
2024-05-09 00:00:00 UTC,2924.6357069143346,2914723799.146359,35971916.388233714
2024-05-10 00:00:00 UTC,2981.0036848137715,2972596357.476798,29384410.279155474
2024-05-11 00:00:00 UTC,2864.896223951401,2856218334.396912,48144261.87425995
2024-05-12 00:00:00 UTC,2859.7478854935507,2850427343.538085,29545922.769117486
2024-05-13 00:00:00 UTC,2881.831912273136,2874162955.871463,31292363.871193234
2024-05-14 00:00:00 UTC,2898.7586147860884,2890060360.935878,24393594.655718915
