snapped_at,price,market_cap,total_volume
2025-01-18 00:00:00 UTC,28.929288312884683,5821894233.9631405,13197840533.578876
2025-01-19 00:00:00 UTC,28.929288312884683,5821894233.9631405,13197840533.578876
2025-01-20 00:00:00 UTC,42.27514576806698,8424686470.183872,36069878689.70184
2025-01-21 00:00:00 UTC,36.802050295981054,7502004514.58809,23081668366.440884
2025-01-22 00:00:00 UTC,44.28351131942989,8792418837.037668,18817898901.789604
2025-01-23 00:00:00 UTC,36.92866145381395,7388641019.353158,5847805907.022273
2025-01-24 00:00:00 UTC,34.7152759576598,6949959133.370741,5743704719.854984
2025-01-25 00:00:00 UTC,29.840047484694818,5954009211.615779,3549738531.0979514
2025-01-26 00:00:00 UTC,29.00657211865172,5801563108.620101,4576950336.92621
2025-01-27 00:00:00 UTC,27.3172553504209,5501249332.95206,3216880393.041358
2025-01-28 00:00:00 UTC,27.79528918808846,5545702040.61871,3694707221.009507
2025-01-29 00:00:00 UTC,27.36065403910105,5465090887.346957,3523417508.7212267
2025-01-30 00:00:00 UTC,27.18860580285987,5460179183.768154,2415796487.545739
2025-01-31 00:00:00 UTC,26.093784364927693,5221891743.369554,2004302572.9899082
2025-02-01 00:00:00 UTC,24.053962900997654,4803106633.924721,2043432393.6664505
2025-02-02 00:00:00 UTC,19.59329722937629,3915371864.007545,3081276959.2284656
2025-02-03 00:00:00 UTC,20.78257490988377,4155761059.165037,3949798634.9008474
2025-02-04 00:00:00 UTC,19.619009701135003,3909417609.7791014,4663879220.236877
2025-02-05 00:00:00 UTC,17.190694289987935,3441105871.757492,2332646635.9933577
2025-02-06 00:00:00 UTC,18.089786840553664,3617582699.383972,2380495542.3567085
2025-02-07 00:00:00 UTC,17.05732521298496,3403935255.476777,1962715829.1229296
2025-02-08 00:00:00 UTC,16.6054880102029,3313957846.1841917,1438311764.1099699
2025-02-09 00:00:00 UTC,17.304154488229123,3461477239.87501,935613171.9035543
2025-02-10 00:00:00 UTC,15.901117757288649,3174818975.819638,1140704095.154327
2025-02-11 00:00:00 UTC,15.858835716815078,3171910900.047158,1284921119.49359
2025-02-12 00:00:00 UTC,15.348861500289567,3071439201.7195826,830169795.9578503
2025-02-13 00:00:00 UTC,15.425095653802432,3079584598.269157,945995050.2940366
2025-02-14 00:00:00 UTC,16.294168043727733,3256965899.746312,2236257818.530301
2025-02-15 00:00:00 UTC,21.38514841189068,4261288456.233733,5758642763.666127
2025-02-16 00:00:00 UTC,18.661097588541292,3735101627.7484627,3373265476.8868194
2025-02-17 00:00:00 UTC,18.755302394310274,3749296525.0103116,1939195456.6990974
2025-02-18 00:00:00 UTC,17.170013548025057,3433701047.2375374,1600390682.6876504
2025-02-19 00:00:00 UTC,16.353252914561264,3266909046.920425,1221314542.0251653
2025-02-20 00:00:00 UTC,17.051401008702864,3417384844.5583,1001201228.2609282
2025-02-21 00:00:00 UTC,17.073353699976316,3411935556.7263165,814185184.8116562
2025-02-22 00:00:00 UTC,15.895501751619795,3179121193.92769,981618491.8934288
2025-02-23 00:00:00 UTC,16.511686961725587,3302331150.8824496,618262132.6768653
2025-02-24 00:00:00 UTC,16.145372235114834,3228276863.7470727,437450940.33072233
2025-02-25 00:00:00 UTC,12.861284313209094,2567624266.780732,1177867747.9044912
2025-02-26 00:00:00 UTC,13.242683332433767,2652407284.6855016,1447939614.4061673
2025-02-27 00:00:00 UTC,13.253953570619803,2641238583.1453676,1036054190.8967624
2025-02-28 00:00:00 UTC,12.601145399143126,2519919916.9983764,750391624.8251777
2025-03-01 00:00:00 UTC,12.98181342618465,2595730031.8605213,1850798966.0325806
2025-03-02 00:00:00 UTC,13.192332592925466,2636990171.0993714,1335773745.3510692
2025-03-03 00:00:00 UTC,16.915371785890034,3390572507.6781025,3858408005.498747
2025-03-04 00:00:00 UTC,12.82256381038246,2568305415.898127,2606700830.875112
2025-03-05 00:00:00 UTC,12.994575868566143,2598914877.904703,1661692207.4354756
2025-03-06 00:00:00 UTC,13.231505440261083,2646889392.418763,1091838054.3773694
2025-03-07 00:00:00 UTC,13.102167382880774,2621757223.6506987,1000439828.5020094
