snapped_at,price,market_cap,total_volume
2020-09-23 00:00:00+00:00,10104.298244745636,666508.4011598573,56007.52175041624
2020-09-24 00:00:00+00:00,10104.298244745636,666508.4011598573,56007.52175041624
2020-09-25 00:00:00+00:00,11250.074465220996,785230.9448870274,1101.30300061641
2020-09-26 00:00:00+00:00,11214.430205573382,1298901.8479514334,4166.034089162991
2020-09-27 00:00:00+00:00,10902.242374716348,2142137.1728674807,1678.8186167948168
2020-09-28 00:00:00+00:00,10594.69926625182,2311967.4577146564,1487.032992154477
2020-09-29 00:00:00+00:00,10724.980128876852,2463436.866939543,6864.917776580262
2020-09-30 00:00:00+00:00,10760.17891694373,2725094.262597807,6913.762729901083
2020-10-01 00:00:00+00:00,10877.982273946744,3040225.6402680776,4901.2000443625
2020-10-02 00:00:00+00:00,10783.543939616848,4070778.905812965,11681.161567008932
2020-10-03 00:00:00+00:00,10253.964745633311,3963456.2003934383,4976.956601863732
2020-10-04 00:00:00+00:00,10714.101584561304,4362678.804014698,26378.60144435968
2020-10-05 00:00:00+00:00,11047.153938925858,4279391.147468377,465.0338419709885
2020-10-06 00:00:00+00:00,11052.035166538884,4004262.861188702,7513.122771349553
2020-10-07 00:00:00+00:00,10647.81581621562,3852346.349332485,2095.108642212274
2020-10-08 00:00:00+00:00,11097.206578372126,4011499.9015693753,2086.873487990056
2020-10-09 00:00:00+00:00,11206.78147626072,4867376.914698914,863.057912722449
2020-10-10 00:00:00+00:00,11131.621281751635,5038605.823155624,36060.00119021979
2020-10-11 00:00:00+00:00,11405.84194764522,5499896.987154525,18249.13324739266
2020-10-12 00:00:00+00:00,11382.904976082587,5439624.12716278,49999.021103004576
2020-10-13 00:00:00+00:00,11596.661703682634,6141636.983782925,3868.015302200028
2020-10-14 00:00:00+00:00,11734.971055434527,5618467.32192883,29499.483959825124
2020-10-15 00:00:00+00:00,11701.427995367598,6448252.770715743,122893.68613751188
2020-10-16 00:00:00+00:00,11648.18096542733,6965427.445971759,22412.133389728388
2020-10-17 00:00:00+00:00,11282.93146032146,7276933.392790775,15678.579985963132
2020-10-18 00:00:00+00:00,11426.707439854885,7741889.764817059,10356.274043539826
2020-10-19 00:00:00+00:00,11501.509380370784,7603877.88155073,32437.371007103982
2020-10-20 00:00:00+00:00,11753.335136885138,7282903.108272741,25057.464131722067
2020-10-21 00:00:00+00:00,12155.76253412326,7431856.108573391,8004.622799496265
2020-10-22 00:00:00+00:00,12918.473673952229,8079213.509563832,46980.66378389925
